Make,ID,Year,ModelYear,Height,Length,Width,Driveline,EngineType,Transmission,Hybrid,ForwardGears,Citympg,FuelType,Highwaympg,Classification,Horsepower,Torque
Mercury,2011 Mercury Mariner,2011,2011 Mercury Mariner,191,98,13,Front-wheel drive,Mercury 2.5L 4 cylinder 171 hp 171 ft-lbs,6 Speed Automatic,TRUE,6,21,Gasoline,28,Automatic transmission,171,171
Mercury,2011 Mercury Mariner AWD,2011,2011 Mercury Mariner,191,98,13,All-wheel drive,Mercury 2.5L 4 cylinder 171 hp 171 ft-lbs,6 Speed Automatic,TRUE,6,20,Gasoline,26,Automatic transmission,171,171
Mercury,2011 Mercury Mariner FFV,2011,2011 Mercury Mariner,191,98,13,Front-wheel drive,Mercury 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,6 Speed Automatic,TRUE,6,14,E85,19,Automatic transmission,240,223
Mercury,2011 Mercury Mariner FFV AWD,2011,2011 Mercury Mariner,191,98,13,All-wheel drive,Mercury 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,6 Speed Automatic,TRUE,6,18,Gasoline,23,Automatic transmission,240,223
Mercury,2011 Mercury Mariner Premier,2011,2011 Mercury Mariner,242,105,13,Front-wheel drive,Mercury 2.5L 4 cylinder 171 hp 171 ft-lbs,6 Speed Automatic,TRUE,6,21,Gasoline,28,Automatic transmission,171,171
Mercury,2011 Mercury Mariner Premier AWD,2011,2011 Mercury Mariner,242,105,13,All-wheel drive,Mercury 2.5L 4 cylinder 171 hp 171 ft-lbs,6 Speed Automatic,TRUE,6,20,Gasoline,26,Automatic transmission,171,171
Mercury,2011 Mercury Mariner Premier FFV,2011,2011 Mercury Mariner,242,105,13,Front-wheel drive,Mercury 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,6 Speed Automatic,TRUE,6,14,E85,19,Automatic transmission,240,223
Mercury,2011 Mercury Mariner Premier FFV AWD,2011,2011 Mercury Mariner,242,105,13,All-wheel drive,Mercury 3.0L 6 Cylinder 240 hp 223 ft-lbs FFV,6 Speed Automatic,TRUE,6,13,E85,17,Automatic transmission,240,223
Chrysler,2010 Chrysler Town and Country LX Fleet,2010,2010 Chrysler Town and Country,214,23,161,Front-wheel drive,Chrysler 3.3L 6 cylinder 175hp 205 ft-lbs FFV,4 Speed Automatic,TRUE,4,17,Gasoline,24,Automatic transmission,175,205
Chrysler,2010 Chrysler Town and Country Touring 4.0L,2010,2010 Chrysler Town and Country,214,23,161,Front-wheel drive,Chrysler 4.0L 6 cylinder 251hp 259 ft-lbs,6 Speed Automatic,TRUE,6,17,Gasoline,25,Automatic transmission,251,259
